2.500000000000e+00 1.831237067500e+00 2.619290987750e-02
7.500000000000e+00 5.575961135200e-01 8.958842526902e-03
1.250000000000e+01 2.436927266900e-01 5.389639177131e-03
1.750000000000e+01 1.327088953000e-01 3.877548575985e-03
2.250000000000e+01 7.916853851600e-02 3.294776112021e-03
2.750000000000e+01 5.008361831800e-02 2.853786191984e-03
3.250000000000e+01 3.302453284200e-02 2.506948823482e-03
3.750000000000e+01 2.237456385400e-02 2.237750881816e-03
4.250000000000e+01 1.542382809990e-02 2.024879303229e-03
4.750000000000e+01 1.087738835260e-02 1.737964540537e-03
5.250000000000e+01 7.702929049100e-03 1.686802921597e-03
5.750000000000e+01 5.448214527400e-03 1.508248702148e-03
6.250000000000e+01 3.882799719120e-03 1.399147346167e-03
6.750000000000e+01 2.709933674036e-03 1.278396266862e-03
7.250000000000e+01 1.906353158991e-03 1.251120952891e-03
7.750000000000e+01 1.325118357722e-03 1.178225272429e-03
8.250000000000e+01 1.086543358610e-03 1.089068161542e-03
8.750000000000e+01 1.027832777116e-03 1.033190127701e-03
9.250000000000e+01 1.126138638811e-03 9.528240200259e-04
9.750000000000e+01 1.289611815516e-03 9.139293239233e-04
1.025000000000e+02 1.231957677091e-03 8.750669444932e-04
1.075000000000e+02 9.686908432651e-04 8.462133545650e-04
1.125000000000e+02 5.937153598915e-04 8.237887602624e-04
1.175000000000e+02 2.534646538668e-04 8.089970653516e-04
1.225000000000e+02 -1.157389122216e-04 7.896637459820e-04
1.275000000000e+02 -2.855240469216e-04 7.530372144437e-04
1.325000000000e+02 -4.023181647823e-04 7.421257769643e-04
1.375000000000e+02 -4.654913943392e-04 7.149861282750e-04
1.425000000000e+02 -4.771874453161e-04 6.874977678812e-04
1.475000000000e+02 -4.523371723477e-04 6.655613242937e-04
1.525000000000e+02 -4.130118194853e-04 6.472828677743e-04
1.575000000000e+02 -4.357339033194e-04 6.377069279280e-04
1.625000000000e+02 -3.844472675627e-04 6.334830655300e-04
1.675000000000e+02 -3.325968785931e-04 5.870844107872e-04
1.725000000000e+02 -3.169063780255e-04 5.844105653103e-04
1.775000000000e+02 -2.883301478267e-04 5.768678033790e-04
1.825000000000e+02 -2.778259117419e-04 5.675359885048e-04
1.875000000000e+02 -2.226525582216e-04 5.422219935164e-04
1.925000000000e+02 -2.213707598540e-04 5.211584666382e-04
1.975000000000e+02 -1.929669227644e-04 5.088978050361e-04
